CountyId,UtilityId,CountyName,CountyState,CountyStatus,OutageCount,CustomerCount,outage_percentage
1326,0,Anderson,0,#004FA2,0,33364,0.0
1327,0,Andrews,0,#004FA2,0,11038,0.0
1328,0,Angelina,0,#004FA2,1,46375,0.0021563342318059297
1329,0,Aransas,0,#014FA1,9,21646,0.04157812066894576
1330,0,Archer,0,#014FA1,2,5175,0.03864734299516908
1331,0,Atascosa,0,#004FA2,3,26522,0.011311364150516553
1332,0,Bastrop,0,#1B5C87,818,49732,1.6448162149119279
1333,0,Baylor,0,#004FA2,0,1691,0.0
1334,0,Bee,0,#004FA2,3,13683,0.021925016443762334
1335,0,Bell,0,#004FA2,12,177715,0.006752384435753876
1336,0,Borden,0,#004FA2,0,1352,0.0
1337,0,Bosque,0,#004FA2,0,14174,0.0
1338,0,Brazoria,0,#014FA1,102,207568,0.04914052262391119
1339,0,Brewster,0,#0150A1,7,7582,0.09232392508572936
1340,0,Briscoe,0,#004FA2,0,1794,0.0
1341,0,Brooks,0,#004FA2,1,4239,0.02359046945034206
1342,0,Brown,0,#004FA2,0,29085,0.0
1343,0,Burnet,0,#004FA2,2,34209,0.005846414686193692
1344,0,Caldwell,0,#004FA2,2,16900,0.011834319526627219
1345,0,Calhoun,0,#0150A1,5,7777,0.06429214350006429
1346,0,Callahan,0,#004FA2,1,12608,0.007931472081218274
1347,0,Cameron,0,#04519E,301,120514,0.24976351295285196
1348,0,Chambers,0,#004FA2,0,31751,0.0
1349,0,Cherokee,0,#004FA2,2,45258,0.004419108223960405
1350,0,Childress,0,#004FA2,0,4215,0.0
1351,0,Clay,0,#004FA2,0,5282,0.0
1352,0,Coke,0,#004FA2,0,4346,0.0
1353,0,Coleman,0,#004FA2,0,1004,0.0
1354,0,Collin,0,#004FA2,77,457667,0.016824459705419008
1355,0,Colorado,0,#004FA2,3,16938,0.017711654268508677
1356,0,Comanche,0,#004FA2,1,11906,0.008399126490844953
1357,0,Concho,0,#004FA2,0,2757,0.0
1358,0,Cooke,0,#004FA2,6,25247,0.02376519982572187
1359,0,Coryell,0,#004FA2,0,24556,0.0
1360,0,Cottle,0,#1B5C87,39,2334,1.6709511568123392
1361,0,Crane,0,#004FA2,0,3133,0.0
1362,0,Crockett,0,#004FA2,0,2392,0.0
1363,0,Culberson,0,#0D5595,13,1681,0.7733491969066032
1364,0,Dallas,0,#004FA2,189,1146198,0.016489297660613612
1365,0,Dawson,0,#004FA2,0,9262,0.0
1366,0,Delta,0,#004FA2,0,3633,0.0
1367,0,Denton,0,#004FA2,7,497894,0.0014059217423789
1368,0,Dewitt,0,#004FA2,0,10423,0.0
1369,0,Dickens,0,#004FA2,0,3780,0.0
1370,0,Dimmit,0,#115791,72,6921,1.0403120936280885
1371,0,Duval,0,#004FA2,0,8838,0.0
1372,0,Eastland,0,#004FA2,4,17368,0.023030861354214647
1373,0,Ector,0,#004FA2,0,90590,0.0
1374,0,Edwards,0,#004FA2,0,4627,0.0
1375,0,Ellis,0,#004FA2,0,101304,0.0
1376,0,Erath,0,#0250A0,39,28559,0.1365594033404531
1377,0,Falls,0,#004FA2,2,12984,0.015403573629081948
1378,0,Fannin,0,#004FA2,2,29985,0.006670001667500417
1379,0,Fisher,0,#004FA2,0,1602,0.0
1380,0,Foard,0,#0150A1,1,1305,0.07662835249042146
1381,0,Fort Bend,0,#0250A0,558,439187,0.1270529410023521
1382,0,Franklin,0,#004FA2,1,12900,0.007751937984496125
1383,0,Freestone,0,#004FA2,1,15612,0.006405329233922624
1384,0,Frio,0,#004FA2,0,10214,0.0
1385,0,Gaines,0,#004FA2,0,17077,0.0
1386,0,Galveston,0,#014FA1,68,204114,0.03331471628599704
1387,0,Glasscock,0,#004FA2,0,4227,0.0
1388,0,Goliad,0,#004FA2,0,4824,0.0
1389,0,Gonzales,0,#004FA2,0,14773,0.0
1390,0,Grayson,0,#004FA2,0,83686,0.0
1391,0,Guadalupe,0,#004FA2,0,84789,0.0
1392,0,Hall,0,#004FA2,0,1860,0.0
1393,0,Hardeman,0,#014FA1,1,3150,0.031746031746031744
1394,0,Harris,0,#0250A0,2306,2321164,0.09934670708317034
1395,0,Haskell,0,#004FA2,1,3910,0.025575447570332477
1396,0,Henderson,0,#004FA2,2,65468,0.003054927598215922
1397,0,Hidalgo,0,#014FA1,185,348231,0.05312565509676048
1398,0,Hill,0,#004FA2,2,24341,0.00821658929378415
1399,0,Hood,0,#004FA2,0,37335,0.0
1400,0,Hopkins,0,#014FA1,8,22705,0.03523452983924246
1401,0,Houston,0,#004FA2,0,15805,0.0
1402,0,Howard,0,#004FA2,3,20134,0.014900168868580511
1403,0,Hunt,0,#014FA1,20,43438,0.0460426354804549
1404,0,Irion,0,#004FA2,0,2609,0.0
1405,0,Jack,0,#004FA2,0,5694,0.0
1406,0,Jackson,0,#004FA2,0,5166,0.0
1407,0,Jasper,0,#004FA2,0,2387,0.0
1408,0,Jeff Davis,0,#08539A,14,2803,0.4994648590795576
1409,0,Jim Hogg,0,#004FA2,0,3286,0.0
1410,0,Jim Wells,0,#004FA2,1,21172,0.004723219346306443
1411,0,Johnson,0,#004FA2,19,101297,0.01875672527320651
